"Respondent ID","Collector ID","Start Date","End Date","IP Address","Email Address","First Name","Last Name","Custom Data 1","Klauzula zgody na przetwarzanie danych osobowych Zaznaczając 'zgadzam się' wyrażam zgodę na przetwarzanie moich danych osobowych, zgodnie z Ustawą z dnia 10 maja 2018 r. o ochronie danych osobowych oraz Rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. w sprawie ochrony osób fizycznych w związku z przetwarzaniem danych osobowych i w sprawie swobodnego przepływu takich danych oraz uchylenia dyrektywy 95/46/WE (ogólne rozporządzenie o ochronie danych) w celu przeprowadzenia badań naukowych realizowanych w ramach projektu badawczego ,,Modelowanie rozumowań abdukcyjnych” oraz kontaktu ze mną w związku z moim udziałem w tych badaniach.","Każdy AS jest BASEM.Każdy BAS jest CESEM.Każdy AS jest CESEM.","Wyjaśnij swoją decyzję Eustachemu:","Jeśli zdanie ""Niektóre PURY są AWAKAMI"" jest prawdziwe, znaczy to że (wybierz jedną odpowiedź):","Zatem w prawdziwym świecie które z tych zdań są prawdziwe (możesz wybrać więcej niż jedno):","","","Jeśli zdanie ""Niektóre GABRY nie są AWAKAMI"" jest prawdziwe, znaczy to że (wybierz jedną odpowiedź):","Zatem w prawdziwym świecie które z tych zdań są prawdziwe (możesz wybrać więcej niż jedno):","","","Każde ŁUTKO jest GLARĄ.Każdy TOPEK jest ŁUTKIEM.  Niektóre TOPKI są GLARAMI.","Wyjaśnij swoją decyzję Eustachemu:","Każda WEDA jest KRALEM.Żaden KRAL nie jest CEKRĄ.        Niektóre CEKRY nie są WEDAMI.","Wyjaśnij swoją decyzję Eustachemu:","Każda FAFKA jest REWOREM.Każdy REWOR jest MUGĄ.    Niektóre FAFKI są MUGAMI.","Wyjaśnij swoją decyzję Eustachemu:","Żadna TALA nie jest MATUKIEM.Każde RUTKO jest TALĄ.                    Niektóre RUTKA nie są MATUKAMI.","Wyjaśnij swoją decyzję Eustachemu:","Każdy KUSEK jest CIAMĄ.Niektóre FODKI są KUSKAMI.Niektóre FODKI są CIAMAMI.","Wyjaśnij swoją decyzję Eustachemu:","Żadna RYFA nie jest FERĄ.Każdy BYNAK jest FERĄ.               Niektóre BYNAKI nie są RYFAMI.","Wyjaśnij swoją decyzję Eustachemu:","Płeć","","","Wiek","Kierunek studiów","Poziom studiów, trwających lub ukończonych (np. licencjackie, magisterskie itp.)","Rok studiów (jeśli trwają)","Czy uczyłaś/eś się kiedyś logiki formalnej?","","Pytania i uwagi:"
"","","","","","","","","","Zgadzam się","Response","Open-Ended Response","Response","Niektóre wróble są ptakami.","Niektóre ssaki są drapieżnikami.","Niektóre koty są jaszczurkami.","Response","Niektóre ptaki nie są jaszczurkami.","Niektóre zwierzęta lądowe nie są drapieżnikami.","Niektóre zięby nie są ptakami.","Response","Open-Ended Response","Response","Open-Ended Response","Response","Open-Ended Response","Response","Open-Ended Response","Response","Open-Ended Response","Response","Open-Ended Response","Kobieta","Mężczyzna","Wolę nie określać","Open-Ended Response","Open-Ended Response","Open-Ended Response","Open-Ended Response","tak","nie","Open-Ended Response"
"114035426578","420006389","2022-05-22 00:16:11","2022-05-22 00:29:26","85.221.129.133","","","","","Zgadzam się","prawda","Skoro as=bas, a bas=ces to as=bas=ces","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","Łutko zawsze jest glarą, ale topek nie zawsze jest glarą, więc nie wszystkie topki to łutko","nie można tego jednoznacznie stwierdzić","Nie mam podanych odpowiednich zależności","fałsz","Fafka=rewor, rewor=muga, więc  fafka=muga","nie można tego jednoznacznie stwierdzić","Nie mam podanych wystarczających zalezności","prawda","Kusek=ciama, a niektóre fotki to kuski to te same fotki,które są kuskami są też ciamami","fałsz","Jak bynak będący rybą może być ferą, skoro ryfy nie są ferami","Kobieta","","","20","Chemia aplikacyjna ","I","2","","nie",""
"114034426687","420006389","2022-05-20 08:10:56","2022-05-20 08:11:09","77.65.91.200","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114034229988","420006389","2022-05-20 00:26:49","2022-05-20 00:27:32","83.8.172.78","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114034093383","420006389","2022-05-19 21:07:35","2022-05-19 21:16:35","85.221.134.215","","","","","Zgadzam się","prawda","Jeśli AS to BAS, a BAS to CES, to AS również nim jest ","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","nie można tego jednoznacznie stwierdzić","Łutko, topek i glara to to samo. Jeśli topek jest łutkiem, a łutko jest glarą, to topki też nimi są. Nie niektóre, ale wszystkie.","","","","","","","","","","","","","","","","","","","",""
"114034053664","420006389","2022-05-19 20:26:48","2022-05-19 20:47:43","37.8.230.32","","","","","Zgadzam się","prawda","Każdy BAS jest CESEM. Każdy AS to też BAS, więc musi być też CESEM.","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","Każdy TOPEK jest ŁUTKIEM, czyli jednocześnie też GLARĄ. Mówiąc, że niektóre TOPKI są GLARAMI sugerujemy, że istnieją od tej reguły wyjątki, na co nie wskazują dwa pierwsze zdania.","fałsz","Żadna CEKRA nie może być WEDĄ, bo byłaby wtedy KRALEM, a KRAL nie może być CEKRĄ.","fałsz","Skoro każdy REWOR jest MUGĄ, to każda FAFKA, zawsze będąca jednocześnie REWOREM, też musi być MUGĄ.","fałsz","Żadne RUTKO nie może być MATUKIEM, bo jest jednocześnie TALĄ.","prawda","Tylko niektóre FODKI, te, które są też KUSKAMI, są CIAMAMI.","fałsz","Żaden BYNAK nie może być RYFĄ, ponieważ każdy z nich jest FERĄ, a FERA nie może być RYFĄ.","","Mężczyzna","","22","japonistyka","licencjackie","3","","nie",""
"114033772233","420006389","2022-05-19 15:31:34","2022-05-19 16:15:00","85.221.151.188","","","","","Zgadzam się","prawda","BAS jest podzbiorem CAS co oznacza że wszystko co mieści się w BAS jest również w zbiorze CAS. wyobraź sobie Eustachy, że AS to kółeczko zamknięte w większym kółeczku, które nazywa się BAS i to większe kółeczko jest zamknięte w jeszcze większym kółeczku, które nazywa się CAS ","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","ponownie potraktujmy to jak zbiory (kółeczka) w matematyce,  GLARA to największy zbiór, którego podzbiorem jest ŁUTKO, z kolei podzbiorem ŁUTKA jest TOPEK, podzbiory w całości zawierają się w większym zbiorze, więc skoro TOPEK=ŁUTKO a ŁUTKO=GLARA wynika z tego że ZAWSZE TOPEK=GLARA, a słowo 'niektóre ' w zdaniu na dole, oznacza małą część a nie wszystkie TOPKI dlatego zdanie jest fałszywe","fałsz","wszystkie CEKRY nie są WEDAMI, ponieważ WEDA jest podzbiorem (małym kółeczkiem) zbioru KRAL (większe kółeczko), CEKRA natomiast jest odrębnym zbiorem, który nie łączy się z KRALEM (jest kółeczkiem dorysowanym obok), a skoro WEDA jest zamknięta w KRAL, nie ma ona dostępu do CEKRY, obwody kółek nigdy się nie przetną i żadne CEKRY nie będą WEDAMI, jak już wiesz Eustachy jeśli NIEKTÓRE objekty nie spełniają warunków to znaczy, że istnieją takie, które je spełniają a w tym wypadku, żadne ich nie spełniają","fałsz","wszystkie FAFKI są REWORAMI, gdyż FAFKA  jest podzbiorem REWORA, który jest podzbiorem  MUGI tzn. FAFKA jest najmnijmniejszym kółeczkiem (FAFKA=REWOR=MUGA) rozmawialiśmy o tym wcześniej Eustachy znak równości oznacza, że KAŻDY przedmiot spełnia warunek a nie tylko NIEKTÓRE","fałsz","wszystkie RUTKA nie są MUTKAMI, ponieważ  każda RUTKA należy do zbioru TALA, który nie łączy się ze zbiorem MUTKA","prawda","KUSEK= CIAMA, więc skoro niektóre FODKI są KUSKAMI to jednocześnie te same niektóre FODKI są też CIAMAMI","fałsz","wszystkie BYNAKI nie są RYFAMI, bo BYNEK = FERA, a FERA nie równa się RYFA","Kobieta","","","20","filologia duńska","licencjackie","2","tak","","fajnie się rozwiązywało, ale trochę się boje, że zrobiłam błędy i to ja wyjdę na głupią, a byłam taka protekcjonalna w stosunku do Eustachego, w razie co przeproście go ode mnie i nie śmiejcie się ze mnie za bardzo, proszę"
"114033682137","420006389","2022-05-19 13:17:43","2022-05-19 13:21:13","188.33.224.71","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114033632541","420006389","2022-05-19 11:35:22","2022-05-19 11:46:55","77.252.46.191","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114032781493","420006389","2022-05-18 13:00:53","2022-05-18 13:01:04","31.60.72.228","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
